version,file,source_file,output_file,file_size_kb,status,error,copied_at
v010,202541_CSCE_111_502_10918_v010.pdf,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202541_CSCE_111_502_10918.pdf"", ""202541_CSCE_111_502_10918.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step0_source/202541_CSCE_111_502_10918_v010.pdf"", ""202541_CSCE_111_502_10918_v010.pdf"")",305.5,ok,,2026-03-11T01:23:12.811467
v010,202541_CSCE_111_503_45409_v010.pdf,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202541_CSCE_111_503_45409.pdf"", ""202541_CSCE_111_503_45409.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step0_source/202541_CSCE_111_503_45409_v010.pdf"", ""202541_CSCE_111_503_45409_v010.pdf"")",305.5,ok,,2026-03-11T01:23:20.962424
v010,202541_ISEN_302_503_11605_v010.pdf,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202541_ISEN_302_503_11605.pdf"", ""202541_ISEN_302_503_11605.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step0_source/202541_ISEN_302_503_11605_v010.pdf"", ""202541_ISEN_302_503_11605_v010.pdf"")",283.6,ok,,2026-03-11T01:23:22.708918
v010,202541_CSCE_111_504_22909_v010.pdf,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202541_CSCE_111_504_22909.pdf"", ""202541_CSCE_111_504_22909.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step0_source/202541_CSCE_111_504_22909_v010.pdf"", ""202541_CSCE_111_504_22909_v010.pdf"")",305.5,ok,,2026-03-11T01:23:27.892119
v010,202541_ISEN_302_504_11606_v010.pdf,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202541_ISEN_302_504_11606.pdf"", ""202541_ISEN_302_504_11606.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step0_source/202541_ISEN_302_504_11606_v010.pdf"", ""202541_ISEN_302_504_11606_v010.pdf"")",283.6,ok,,2026-03-11T01:23:28.187551
v010,202541_CSCE_111_505_46758_v010.pdf,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202541_CSCE_111_505_46758.pdf"", ""202541_CSCE_111_505_46758.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step0_source/202541_CSCE_111_505_46758_v010.pdf"", ""202541_CSCE_111_505_46758_v010.pdf"")",305.4,ok,,2026-03-11T01:23:35.805604
v010,202541_ISEN_302_505_57826_v010.pdf,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202541_ISEN_302_505_57826.pdf"", ""202541_ISEN_302_505_57826.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step0_source/202541_ISEN_302_505_57826_v010.pdf"", ""202541_ISEN_302_505_57826_v010.pdf"")",283.6,ok,,2026-03-11T01:23:38.227273
v010,202541_CSCE_111_506_46759_v010.pdf,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202541_CSCE_111_506_46759.pdf"", ""202541_CSCE_111_506_46759.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step0_source/202541_CSCE_111_506_46759_v010.pdf"", ""202541_CSCE_111_506_46759_v010.pdf"")",305.5,ok,,2026-03-11T01:23:44.193508
v010,202541_ISEN_340_502_39510_v010.pdf,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202541_ISEN_340_502_39510.pdf"", ""202541_ISEN_340_502_39510.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step0_source/202541_ISEN_340_502_39510_v010.pdf"", ""202541_ISEN_340_502_39510_v010.pdf"")",228.7,ok,,2026-03-11T01:23:46.200750
v010,202541_ISEN_440_500_51374_v010.pdf,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202541_ISEN_440_500_51374.pdf"", ""202541_ISEN_440_500_51374.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step0_source/202541_ISEN_440_500_51374_v010.pdf"", ""202541_ISEN_440_500_51374_v010.pdf"")",363.9,ok,,2026-03-11T01:23:49.674721
