version,file,source_pdf,output_file,body_font_size_pt,annotated_lines,plain_lines,output_tokens,page_count,status,error,processed_at
v010,202611_CSCE_314_502_55143_v010.md,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202611_CSCE_314_502_55143.pdf"", ""202611_CSCE_314_502_55143.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step1_markdown/202611_CSCE_314_502_55143_v010.md"", ""202611_CSCE_314_502_55143_v010.md"")",11.0,46,360,5373,13,ok,,2026-03-11T01:03:04.344867
v010,202541_CSCE_676_600_62085_v010.md,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202541_CSCE_676_600_62085.pdf"", ""202541_CSCE_676_600_62085.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step1_markdown/202541_CSCE_676_600_62085_v010.md"", ""202541_CSCE_676_600_62085_v010.md"")",11.0,29,279,4350,12,ok,,2026-03-11T01:03:13.294588
v010,202541_CSCE_313_597_63140_v010.md,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202541_CSCE_313_597_63140.pdf"", ""202541_CSCE_313_597_63140.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step1_markdown/202541_CSCE_313_597_63140_v010.md"", ""202541_CSCE_313_597_63140_v010.md"")",11.0,74,356,5396,13,ok,,2026-03-11T01:03:21.728167
v010,202541_CSCE_111_500_49744_v010.md,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202541_CSCE_111_500_49744.pdf"", ""202541_CSCE_111_500_49744.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step1_markdown/202541_CSCE_111_500_49744_v010.md"", ""202541_CSCE_111_500_49744_v010.md"")",11.0,144,269,5358,15,ok,,2026-03-11T01:22:59.392434
v010,202541_ISEN_302_500_41996_v010.md,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202541_ISEN_302_500_41996.pdf"", ""202541_ISEN_302_500_41996.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step1_markdown/202541_ISEN_302_500_41996_v010.md"", ""202541_ISEN_302_500_41996_v010.md"")",11.0,60,255,5018,11,ok,,2026-03-11T01:23:03.122494
v010,202541_CSCE_111_501_10917_v010.md,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202541_CSCE_111_501_10917.pdf"", ""202541_CSCE_111_501_10917.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step1_markdown/202541_CSCE_111_501_10917_v010.md"", ""202541_CSCE_111_501_10917_v010.md"")",11.0,144,269,5358,15,ok,,2026-03-11T01:23:07.563865
v010,202541_ISEN_302_501_11603_v010.md,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202541_ISEN_302_501_11603.pdf"", ""202541_ISEN_302_501_11603.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step1_markdown/202541_ISEN_302_501_11603_v010.md"", ""202541_ISEN_302_501_11603_v010.md"")",11.0,29,259,4222,12,ok,,2026-03-11T01:23:09.428256
v010,202541_CSCE_111_502_10918_v010.md,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202541_CSCE_111_502_10918.pdf"", ""202541_CSCE_111_502_10918.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step1_markdown/202541_CSCE_111_502_10918_v010.md"", ""202541_CSCE_111_502_10918_v010.md"")",11.0,144,269,5358,15,ok,,2026-03-11T01:23:12.866397
v010,202541_CSCE_111_503_45409_v010.md,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202541_CSCE_111_503_45409.pdf"", ""202541_CSCE_111_503_45409.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step1_markdown/202541_CSCE_111_503_45409_v010.md"", ""202541_CSCE_111_503_45409_v010.md"")",11.0,144,269,5358,15,ok,,2026-03-11T01:23:21.037750
v010,202541_ISEN_302_503_11605_v010.md,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202541_ISEN_302_503_11605.pdf"", ""202541_ISEN_302_503_11605.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step1_markdown/202541_ISEN_302_503_11605_v010.md"", ""202541_ISEN_302_503_11605_v010.md"")",11.0,60,255,5016,11,ok,,2026-03-11T01:23:22.783102
v010,202541_CSCE_111_504_22909_v010.md,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202541_CSCE_111_504_22909.pdf"", ""202541_CSCE_111_504_22909.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step1_markdown/202541_CSCE_111_504_22909_v010.md"", ""202541_CSCE_111_504_22909_v010.md"")",11.0,144,269,5358,15,ok,,2026-03-11T01:23:27.947082
v010,202541_ISEN_302_504_11606_v010.md,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202541_ISEN_302_504_11606.pdf"", ""202541_ISEN_302_504_11606.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step1_markdown/202541_ISEN_302_504_11606_v010.md"", ""202541_ISEN_302_504_11606_v010.md"")",11.0,60,255,5015,11,ok,,2026-03-11T01:23:28.234637
v010,202541_CSCE_111_505_46758_v010.md,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202541_CSCE_111_505_46758.pdf"", ""202541_CSCE_111_505_46758.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step1_markdown/202541_CSCE_111_505_46758_v010.md"", ""202541_CSCE_111_505_46758_v010.md"")",11.0,144,269,5358,15,ok,,2026-03-11T01:23:35.861269
